what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481417440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481422245
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353481426940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481429547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481433600
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1353481435200
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353481441269
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353481442111
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353481445296
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353481449726
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353481450289
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353481457990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481523631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481569371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481574304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481575802
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1353481575942
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353481576005
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1353481576223
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1353481576223
stopped,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1353481576223
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1353481576223
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1353481576223
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1353481576223
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1353481576223
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1353481576223
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1353481576223
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1353481576223
stopped,bundle,com.altera.sbtgui.ui,12.0.0.263,"com.altera.sbtgui.ui",1353481576223
stopped,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1353481576223
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1353481576223
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1353481576223
